School,Type,City,State
Washington State University,Public,Pullman,Washington
Weber State University,Public,Ogden,Utah
West Virginia University,Public,Morgantown,West Virginia
Western Carolina University,Public,Cullowhee,North Carolina
Western Illinois University,Public,Macomb,Illinois
Western Kentucky University,Public,Bowling Green,Kentucky
Western Michigan University,Public,Kalamazoo,Michigan
Wichita State University,Public,Wichita,Kansas
William & Mary,Public,Williamsburg,Virginia
Winthrop University,Public,Rock Hill,South Carolina
Wofford College,Private,Spartanburg,South Carolina
Wright State University,Public,Dayton,Ohio
Xavier University,Private,Cincinnati,Ohio
Yale University,Private,New Haven,Connecticut
Youngstown State University,Public,Youngstown,Ohio
